idVehiculo;deposito;tipoVehiculo;motivo;turno;grua;fechaEntrada;tipoVia;via;numero;cp
CO20230222012038;COLON;3;42;3;S356;2023-02-22 01:19:00;ACCES;GONZALO DE  CORDOBA;8;
CO20230222013044;COLON;3;42;3;S360;2023-02-22 01:29:00;CALLE;GONZALO DE CORDOBA;6;28010
CO20230222013504;COLON;3;44;3;S358;2023-02-22 01:34:00;CALLE;SANTIAGO ESTEVEZ;13;28019
VC20230222014419;VICALVARO;3;20;3;S370;2023-02-22 01:42:00;CALLE;OLIMPO;1;28043
M320230222014742;MEDIODIA 3;3;14;3;S354;2023-02-22 01:46:00;RONDA;COMUNICACION;1;0    
CO20230222032043;COLON;3;7;3;S369;2023-02-22 03:05:00;CALLE;REINA;31;28004
M320230222031646;MEDIODIA 3;3;14;3;S365;2023-02-22 03:15:00;CALLE;MONTE PERDIDO;2;28053
VC20230222033946;VICALVARO;1;16;3;S370;2023-02-22 03:25:00;AUTOVIA;M30;;
CO20230222033036;COLON;3;54;3;S360;2023-02-22 03:29:00;CALLE;ABADA;14;28013
ES20230222040415;ESCUADRON;3;13;3;S316;2023-02-22 04:03:00;CALLE;FOSFORO;1;28005
CO20230222055202;COLON;3;13;3;S354;2023-02-22 05:48:00;CALLE;HALCON;15;28025
ES20230222075802;ESCUADRON;1;16;1;S365;2023-02-22 07:56:00;PLAZA;COLON;0;28000
CO20230222084651;COLON;3;7;1;S360;2023-02-22 08:45:00;CALLE;LUIS VELEZ DE GUEVARA;0;28012
RE20230222090033;EL RECUERDO;3;19;1;S309;2023-02-22 08:58:00;CALLE;ANGEL MUGICA;10;0
PI20230222093914;PASEO IMPERIAL;3;7;1;S333;2023-02-22 09:15:00;CARRERA;SAN FRANCISCO;13;28005
RE20230222092650;EL RECUERDO;3;7;1;S310;2023-02-22 09:25:00;CALLE;ANGEL MUGICA;12;28034
VC20230222092804;VICALVARO;4;14;1;S356;2023-02-22 09:27:00;CALLE;SAN SOTERO;0;28037
CO20230222093817;COLON;3;7;1;S367;2023-02-22 09:37:00;CALLE;MODESTO LA FUENTE;13;28000
PI20230222094315;PASEO IMPERIAL;3;7;1;S332;2023-02-22 09:40:00;CALLE;NAVALMORAL DE LA MATA;17;28044
ES20230222094438;ESCUADRON;1;16;1;S373;2023-02-22 09:42:00;CALLE;VILLARROBLEDO;;28045
M320230222095147;MEDIODIA 3;3;6;1;S336;2023-02-22 09:50:00;CALLE;ERCILLA;8;28005
CO20230222095624;COLON;3;31;1;S346;2023-02-22 09:54:00;AVENIDA;PABLO IGLESIAS;24;28039
PI20230222100753;PASEO IMPERIAL;3;7;1;S334;2023-02-22 10:00:00;CALLE;MALGRAT DE MAR;7;28038
CO20230222101401;COLON;3;31;1;S348;2023-02-22 10:12:00;CALLE;SANTA CRUZ DE MARCENADO;2;28015
CO20230222101904;COLON;3;31;1;S369;2023-02-22 10:17:00;CALLE;SANTA CRUZ DE MARLENADO;2;28015
VC20230222102018;VICALVARO;3;14;1;S344;2023-02-22 10:19:00;CALLE;PEDREÑA;11;28038
PI20230222105605;PASEO IMPERIAL;3;4;1;S331;2023-02-22 10:30:00;CALLE;GREGORIO NAVAS;16;28053
RE20230222103155;EL RECUERDO;3;7;1;S315;2023-02-22 10:31:00;PASEO;DE LA  CASTELLANA;172;28046
RE20230222105216;EL RECUERDO;3;7;1;S309;2023-02-22 10:48:00;CALLE;DE VALPARAISO;4;28016
M320230222105252;MEDIODIA 3;3;14;1;S326;2023-02-22 10:51:00;CALLE;PUERTO DE BALBARAN;25;28053
PI20230222110537;PASEO IMPERIAL;3;6;1;S333;2023-02-22 10:55:00;CALLE;SALABERRY;60;28025
VC20230222105553;VICALVARO;3;14;1;S343;2023-02-22 10:55:00;AVENIDA;DE LOGROÑO;102;28042
CO20230222105645;COLON;3;7;1;S360;2023-02-22 10:55:00;CALLE;IBIZA;19;28009
CO20230222105807;COLON;4;7;1;S365;2023-02-22 10:56:00;CALLE;GENERAL PARDIÑAS;82;28006
ES20230222110212;ESCUADRON;3;14;1;S321;2023-02-22 11:00:00;CALLE;ISAAC PERAL;;28040
CO20230222111126;COLON;3;7;1;S349;2023-02-22 11:07:00;CALLE;SANTA CRUZ DE MARCENADO;2;28015
CO20230222111349;COLON;3;7;1;S367;2023-02-22 11:12:00;CALLE;SANTA CRUZ DE MARCENADO;1;28015
M320230222112805;MEDIODIA 3;3;31;1;S351;2023-02-22 11:26:00;CALLE;SANTA CRUZ DE MARCENADO;2;28015
VC20230222113129;VICALVARO;3;19;1;S305;2023-02-22 11:29:00;CALLE;JAIME HERMIDA;7;28037
M320230222113209;MEDIODIA 3;3;14;1;S335;2023-02-22 11:30:00;CALLE;EDUARDO ROJO;14;28018
VC20230222114017;VICALVARO;3;57;1;S344;2023-02-22 11:39:00;CALLE;SAN CLAUDIO;49;28038
RE20230222114027;EL RECUERDO;1;44;1;S310;2023-02-22 11:39:00;CALLE;POETA JOAN MARAGALL;48;
M320230222115003;MEDIODIA 3;3;44;1;S328;2023-02-22 11:49:00;CALLE;VENANCIO MARTIN;19;28038
VC20230222115439;VICALVARO;4;14;1;S314;2023-02-22 11:53:00;CALLE;AYERBE;16;28042
ES20230222115840;ESCUADRON;3;14;1;S329;2023-02-22 11:57:00;CALLE;PROFESOR ARANGUREN;0;28040
VC20230222120201;VICALVARO;4;57;1;S325;2023-02-22 11:59:00;CALLE;BELZUNEGUI;52;28025
M320230222121016;MEDIODIA 3;3;14;1;S327;2023-02-22 12:09:00;CALLE;ILLESCAS;43;28024
M320230222121348;MEDIODIA 3;3;14;1;S348;2023-02-22 12:11:00;PASEO;EXTREMADURA;323;28011
M320230222121758;MEDIODIA 3;3;14;1;S343;2023-02-22 12:16:00;CALLE;CERRO DEL MURMULLO;11;28051
CO20230222122227;COLON;3;7;1;S356;2023-02-22 12:20:00;CALLE;PASEO  DE LA HABANA;4;28036
CO20230222122745;COLON;3;7;1;S360;2023-02-22 12:26:00;CALLE;HERMOSILLA;125;28028
ES20230222123812;ESCUADRON;4;6;1;S334;2023-02-22 12:35:00;CALLE;SAN ROBERTO;;28011
ES20230222123706;ESCUADRON;3;7;1;S315;2023-02-22 12:36:00;CALLE;JUAN ALVAREZ MENDIZABAL;54;28008
RE20230222124318;EL RECUERDO;3;7;1;S303;2023-02-22 12:42:00;CALLE;CANOA;13;28042
RE20230222130111;EL RECUERDO;3;7;1;S309;2023-02-22 12:59:00;CALLE;DE LA RIBERA DEL SENA;21;28042
ES20230222130100;ESCUADRON;3;14;1;S331;2023-02-22 13:00:00;PASEO;DE  LA FLORIDA;2;28008
VC20230222132411;VICALVARO;3;14;1;S314;2023-02-22 13:23:00;AVENIDA;DAROCA;90;28017
CO20230222133011;COLON;3;7;1;S369;2023-02-22 13:29:00;CALLE;DE LA RIBERA DEL SENA;21;28042
M320230222133347;MEDIODIA 3;1;14;1;S373;2023-02-22 13:33:00;CALLE;TOMELLOSO;13;28026
M320230222133457;MEDIODIA 3;1;14;1;S373;2023-02-22 13:34:00;CALLE;VIRIDIANA;SN;28018
CO20230222135057;COLON;3;44;1;S354;2023-02-22 13:49:00;CALLE;ESTEBAN COLLANTE;57;28017
M320230222135253;MEDIODIA 3;1;14;1;S333;2023-02-22 13:52:00;CALLE;SALVADOR ALONSO;25;28019
PI20230222135436;PASEO IMPERIAL;3;6;1;S339;2023-02-22 13:53:00;CALLE;AVEFRIA;15;28025
VC20230222135545;VICALVARO;3;16;1;S310;2023-02-22 13:53:00;CALLE;ARTURO SORIA;0;28033
VC20230222135822;VICALVARO;1;16;1;S343;2023-02-22 13:57:00;CALLE;RUFINO GONZALEZ;0;28037
PI20230222140017;PASEO IMPERIAL;4;3;1;S321;2023-02-22 13:58:00;CALLE;SEQUEROS;8;28026
PI20230222140656;PASEO IMPERIAL;3;3;1;S329;2023-02-22 14:05:00;CALLE;SEQUEROS;8;28026
ES20230222140727;ESCUADRON;1;14;1;S367;2023-02-22 14:06:00;CALLE;RAIMUNDO FERNANDEZ VILLAVERDE;;28003
PI20230222143004;PASEO IMPERIAL;3;44;1;S327;2023-02-22 14:25:00;CALLE;PEDRO DOMINGO;2;28025
ES20230222153011;ESCUADRON;3;14;2;S316;2023-02-22 15:28:00;CALLE;EGUILAZ;13;0    
CO20230222160151;COLON;3;7;2;S355;2023-02-22 15:58:00;PASEO;CASTELLANA;45;28046
CO20230222160901;COLON;3;44;2;S353;2023-02-22 16:07:00;CALLE;SAN CLAUDIO;111;28004
VC20230222162517;VICALVARO;3;20;2;S346;2023-02-22 16:22:00;PASEO;MARIA DROC;11;28021
ES20230222162951;ESCUADRON;1;16;2;S373;2023-02-22 16:25:00;CALLE;MARQUES DE RISCAL;SN;28010
VC20230222163428;VICALVARO;3;14;2;S365;2023-02-22 16:33:00;ACCESO;AEROPUERTO DE BARAJAS T2 LLEGADAS;0;0    
ES20230222164441;ESCUADRON;3;14;2;S323;2023-02-22 16:42:00;CALLE;AGUILLON;4;28045
VC20230222165711;VICALVARO;3;14;2;S314;2023-02-22 16:56:00;CALLE;LUIS MARIN;0;28038
ES20230222171131;ESCUADRON;3;13;2;S345;2023-02-22 17:09:00;CALLE;CLARINETES;/V;28054
M320230222171803;MEDIODIA 3;3;14;2;S333;2023-02-22 17:16:00;CALLE;COBALTO;3;28021
RE20230222172416;EL RECUERDO;3;7;2;S312;2023-02-22 17:22:00;PLAZA;DE LOS TRES OLIVOS;16;28034
PI20230222174136;PASEO IMPERIAL;3;7;2;S328;2023-02-22 17:40:00;CALLE;LA TACONA;5;28030
RE20230222174851;EL RECUERDO;3;7;2;S305;2023-02-22 17:47:00;PLAZA;DE LOS TRES OLIVOS;0;28034
VC20230222175541;VICALVARO;3;14;2;S369;2023-02-22 17:54:00;CALLE;ISABEL SERRANO;16;28029
VC20230222175627;VICALVARO;3;20;2;S354;2023-02-22 17:55:00;CALLE;MARMOLINA;12;28032
CO20230222180537;COLON;3;2;2;S358;2023-02-22 18:02:00;CALLE;AMSTERDAM;0;28042
VC20230222181151;VICALVARO;3;14;2;S367;2023-02-22 18:11:00;PLAZA;EMPERADOR CARLOS V;10;28012
M320230222181307;MEDIODIA 3;3;14;2;S326;2023-02-22 18:12:00;CALLE;VILLAJOYOSA;95;28041
M320230222184135;MEDIODIA 3;3;14;2;S327;2023-02-22 18:40:00;CALLE;CARMEN BORDIU;9;28021
VC20230222184329;VICALVARO;3;14;2;S314;2023-02-22 18:41:00;CALLE;FRANCISCO VILLAESPESA;15;28017
ES20230222184424;ESCUADRON;1;14;2;S356;2023-02-22 18:42:00;CALLE;CONCEPCION JEROMINA;6;28012
ES20230222185205;ESCUADRON;3;14;2;S323;2023-02-22 18:50:00;CALLE;BESOLLA;5;28028
VC20230222194022;VICALVARO;3;14;2;S322;2023-02-22 19:38:00;AVENIDA;INVIERNO;1;28022
ES20230222194741;ESCUADRON;1;14;2;S316;2023-02-22 19:45:00;CALLE;FELIX RODRIGUEZ DE LA FUENTE;41;0    
VC20230222195308;VICALVARO;3;46;2;S355;2023-02-22 19:51:00;GLORIETA;JUAN BORBON;SN;0    
CO20230222195654;COLON;3;44;2;S353;2023-02-22 19:53:00;GLORIETA;S.A.R. DON JUAN DE BORBON Y BATTEMBERG;01;0    
ES20230222201249;ESCUADRON;3;14;2;S333;2023-02-22 20:11:00;CALLE;PASEO DE LAS DELICIAS;117;28045
ES20230222202629;ESCUADRON;3;14;2;S331;2023-02-22 20:24:00;CALLE;BESOLLA;5;28028
CO20230222202832;COLON;3;31;2;S358;2023-02-22 20:26:00;CALLE;SANTISIMA TRINIDAD;07;0    
VC20230222202719;VICALVARO;3;54;2;S314;2023-02-22 20:26:00;AVENIDA;INVIERNO;0;28022
ES20230222204018;ESCUADRON;3;14;2;S338;2023-02-22 20:38:00;CALLE;ARIZA;/V;28019
M320230222210410;MEDIODIA 3;3;14;2;S312;2023-02-22 21:03:00;CALLE;SAN RESTITUTO;;28036
PI20230222211847;PASEO IMPERIAL;3;6;2;S336;2023-02-22 21:17:00;CALLE;DOLOROSA;17;28041
ES20230222212122;ESCUADRON;3;7;2;S335;2023-02-22 21:19:00;CALLE;JESUS DEL GRAN PODER;42;28026
ES20230222213410;ESCUADRON;3;7;2;S332;2023-02-22 21:33:00;CALLE;JESUS DEL GRAN PODER;42;28026
ES20230222233100;ESCUADRON;3;13;3;S304;2023-02-22 23:10:00;PASEO;RECOLETOS;31;28004
ES20230222233049;ESCUADRON;4;13;3;S316;2023-02-22 23:20:00;CALLE;JOSE PAULETE;22;28038
VC20230222232855;VICALVARO;3;14;3;S346;2023-02-22 23:25:00;CALLE;ALCALA;425;28022
M320230223000608;MEDIODIA 3;4;14;3;S370;2023-02-23 00:00:00;CALLE;SANTA ALICIA;22;28018
M320230223000223;MEDIODIA 3;3;14;3;S365;2023-02-23 00:00:00;CALLE;QUART DE POBLET;0;28047
M320230223000723;MEDIODIA 3;3;14;3;S356;2023-02-23 00:00:00;RONDA;DON BOSCO;12;28044
CO20230223003817;COLON;4;44;3;S354;2023-02-23 00:35:00;CALLE;SERRANO ANGUITA;10;28004
CO20230223005519;COLON;3;7;3;S365;2023-02-23 00:53:00;CALLE;TORRELAGUNA;75;28043
CO20230223010123;COLON;3;44;3;S304;2023-02-23 01:00:00;CALLE;SANDALIO LOPEZ;30;28034
M320230223013457;MEDIODIA 3;3;14;3;S367;2023-02-23 01:25:00;CALLE;FERNANDEZ SILVESTRE;;28046
CO20230223013946;COLON;3;6;3;S370;2023-02-23 01:30:00;CALLE;AMANECER;3;28025
CO20230223024154;COLON;3;42;3;S356;2023-02-23 02:30:00;CALLE;DONOSO CORTES;22;28015
M320230223025220;MEDIODIA 3;3;14;3;S367;2023-02-23 02:35:00;AVENIDA;ENTREVIAS;0;28053
ES20230223023819;ESCUADRON;3;13;3;S346;2023-02-23 02:35:00;AVENIDA;NUESTRA SEÑORA DE VALVANERA;0;28047
VC20230223030007;VICALVARO;3;20;3;S316;2023-02-23 02:45:00;CALLE;FRANCISCO ALVAREZ;1;28051
M320230223025815;MEDIODIA 3;1;14;3;S370;2023-02-23 02:55:00;CALLE;TIMOTEO PEREZ RUBIO;;28053
CO20230223032650;COLON;4;42;3;S365;2023-02-23 03:25:00;CALLE;DONOSO CORTES;22;28015
CO20230223033149;COLON;3;42;3;S357;2023-02-23 03:30:00;CALLE;DONOSO CORTES;20;28015
CO20230223033113;COLON;3;42;3;S354;2023-02-23 03:30:00;CALLE;DONOSO CORTES;22;28015
CO20230223035225;COLON;4;42;3;S304;2023-02-23 03:40:00;CALLE;DONOSO CORTES;20;28015
ES20230223040227;ESCUADRON;3;49;3;S346;2023-02-23 03:58:00;CALLE;GENERAL RICARDOS;;28025
CO20230223052629;COLON;3;7;3;S357;2023-02-23 05:25:00;CALLE;MAURICIO RAVEL;10;28046
CO20230223061706;COLON;1;20;3;S367;2023-02-23 06:12:00;PASEO;HABANA;28;28036
RE20230223073240;EL RECUERDO;3;7;1;S315;2023-02-23 07:30:00;CALLE;SAN RESTITUTO;24;28036
RE20230223073428;EL RECUERDO;4;7;1;S348;2023-02-23 07:33:00;CALLE;SAN RESTITUTO;24;28036
RE20230223073558;EL RECUERDO;3;7;1;S316;2023-02-23 07:34:00;CALLE;SAN RESTITUTO;24;28036
RE20230223073657;EL RECUERDO;3;7;1;S346;2023-02-23 07:35:00;CALLE;SAN RESTITUTO;24;28036
CO20230223074049;COLON;3;3;1;S365;2023-02-23 07:39:00;CALLE;CONDESA DE GAVIA;5;28020
PI20230223083954;PASEO IMPERIAL;3;7;1;S326;2023-02-23 08:35:00;VIA;LUSITANA;1;28025
VC20230223085456;VICALVARO;3;7;1;S344;2023-02-23 08:40:00;CALLE;VILLABLANCA;0;28032
VC20230223090827;VICALVARO;3;14;1;S340;2023-02-23 08:50:00;AVENIDA;VILLA DE VALLECAS;0;28031
PI20230223090211;PASEO IMPERIAL;3;7;1;S332;2023-02-23 09:00:00;PASEO;GIGANTES Y CABEZUDOS;42;28041
ES20230223090611;ESCUADRON;3;14;1;S317;2023-02-23 09:05:00;CALLE;VIA LUISITANA;;28025
M320230223091342;MEDIODIA 3;3;7;1;S335;2023-02-23 09:12:00;CALLE;BURJASOT;30;28021
ES20230223094039;ESCUADRON;4;7;1;S327;2023-02-23 09:39:00;PASEO;PASEO GIGANTES Y CABEZUDOS;;28041
ES20230223094211;ESCUADRON;4;46;1;S321;2023-02-23 09:41:00;CALLE;AUGUSTO FIGEROA;;28004
VC20230223095502;VICALVARO;3;14;1;S356;2023-02-23 09:54:00;CALLE;ALCALA;451;28022
CO20230223100234;COLON;3;7;1;S354;2023-02-23 10:01:00;CALLE;JORGE JUAN;83;28028
ES20230223101646;ESCUADRON;3;14;1;S312;2023-02-23 10:15:00;CALLE;BURGOS;;28039
PI20230223102216;PASEO IMPERIAL;3;44;1;S314;2023-02-23 10:20:00;CALLE;MUDELA;200;28053
VC20230223103216;VICALVARO;3;20;1;S346;2023-02-23 10:30:00;CALLE;PEDRO LABORDE;77;28028
PI20230223103832;PASEO IMPERIAL;3;3;1;S320;2023-02-23 10:35:00;CALLE;LOS MINEROS;7;28025
CO20230223104831;COLON;3;7;1;S360;2023-02-23 10:47:00;CALLE;LONGARES;46;28022
ES20230223105846;ESCUADRON;1;14;1;S373;2023-02-23 10:56:00;CALLE;MAYOR;44;0    
VC20230223105954;VICALVARO;3;19;1;S344;2023-02-23 10:58:00;CALLEJON;RUICES;10;
CO20230223105940;COLON;3;31;1;S351;2023-02-23 10:58:00;CALLE;MARQUES DE MONTEAGUDO;15;28028
PI20230223110114;PASEO IMPERIAL;3;7;1;S325;2023-02-23 10:59:00;PASEO;CHOPERA;41;28045
ES20230223110249;ESCUADRON;1;50;1;S373;2023-02-23 11:00:00;CALLE;JOSE SANCHEZ PESCADOR;;28007
M320230223111447;MEDIODIA 3;1;14;1;S316;2023-02-23 11:13:00;CALLE;CALLEJON DE RUICES;10;28053
CO20230223112056;COLON;3;7;1;S353;2023-02-23 11:20:00;CALLE;ETURIA;9;0    
CO20230223112920;COLON;3;33;1;S367;2023-02-23 11:28:00;CALLE;SAN ROMAN DEL VALLE;;28037
CO20230223113100;COLON;3;33;1;S365;2023-02-23 11:28:00;CALLE;SAN ROMAN DEL VALLE;2;28037
PI20230223114932;PASEO IMPERIAL;3;19;1;S338;2023-02-23 11:45:00;CALLE;ANTONIO LOPEZ;100;28026
VC20230223115416;VICALVARO;3;57;1;S303;2023-02-23 11:52:00;CALLE;SANTIAGO DE COMPOSTELA;62;28035
CO20230223120311;COLON;3;6;1;S354;2023-02-23 12:02:00;CALLE;FRANCISCO VILLAESPESA;1;28017
RE20230223121211;EL RECUERDO;3;11;1;S348;2023-02-23 12:10:00;CALLE;SANCHEZ PRECIADO;38;28039
PI20230223122928;PASEO IMPERIAL;3;46;1;S327;2023-02-23 12:20:00;CALLE;DOCE DE OCTUBRE (HOSPITAL);;0    
VC20230223123022;VICALVARO;4;14;1;S321;2023-02-23 12:28:00;CALLE;RAMON PEREZ DE AYALA;84;28038
VC20230223123311;VICALVARO;3;20;1;S344;2023-02-23 12:32:00;AVENIDA;GRAN VIA DEL ESTE;0;28031
M320230223123442;MEDIODIA 3;3;44;1;S328;2023-02-23 12:33:00;CALLE;VISITACION;8;28026
RE20230223124237;EL RECUERDO;3;11;1;S312;2023-02-23 12:41:00;CALLE;ANTONIO CANTALEJO;;28027
M320230223124509;MEDIODIA 3;3;34;1;S325;2023-02-23 12:43:00;CALLE;VILLAMANIN;27;28000
PI20230223132540;PASEO IMPERIAL;3;8;1;S326;2023-02-23 13:24:00;CALLE;OCAÑA;1;28047
RE20230223133114;EL RECUERDO;3;44;1;S313;2023-02-23 13:29:00;CALLE;GOLFO DE SALONICA;42;28033
ES20230223133113;ESCUADRON;3;14;1;S320;2023-02-23 13:30:00;CALLE;MARQUES DE URQUIJO;;28008
VC20230223134048;VICALVARO;3;14;1;S340;2023-02-23 13:39:00;CALLE;GANADOS DEL SALOBRAL;6;28021
ES20230223135729;ESCUADRON;3;6;1;S331;2023-02-23 13:54:00;CALLE;SANTIAGO CUENDE;11;28025
RE20230223140244;EL RECUERDO;1;14;1;S373;2023-02-23 14:00:00;CALLE;RIVERA DE CURTIDORES;0;28005
RE20230223140623;EL RECUERDO;1;14;1;S373;2023-02-23 14:05:00;AUTOVIA;ANDALUCIA  ;0;13730
CO20230223140629;COLON;3;7;1;S356;2023-02-23 14:05:00;CALLE;BUEN SUCESO;32;28008
VC20230223142138;VICALVARO;3;57;1;S314;2023-02-23 14:19:00;CALLE;TRESPADERNE;17;28042
