idVehiculo;deposito;tipoVehiculo;motivo;turno;grua;fechaEntrada;tipoVia;via;numero;cp
ES20210101002847;ESCUADRON;3;13;3;S357;2021-01-01 00:15:00;CALLE;MARTINEZ DE LA RIVA;0;28053
ES20210101003628;ESCUADRON;3;13;3;S369;2021-01-01 00:30:00;AVENIDA;DE LA DEMOCRACIA;0;28031
CO20210101004006;COLON;3;6;3;S352;2021-01-01 00:35:00;CALLE;MANUEL LAGUNA;25;28018
ES20210101004425;ESCUADRON;3;13;3;S351;2021-01-01 00:40:00;TUNEL;M 30;0;
ES20210101030639;ESCUADRON;3;13;3;S368;2021-01-01 01:40:00;CAMINO;VENTA DEL PAJARO;21;28018
ES20210101022547;ESCUADRON;3;13;3;S356;2021-01-01 02:20:00;AVENIDA;DE LOS POBLADOS;0;28044
VC20210101030758;VICALVARO;3;16;3;S304;2021-01-01 02:33:00;CALLE;MERCEDES ANTON;0;28030
VC20210101024433;VICALVARO;3;16;3;S357;2021-01-01 02:35:00;CALLE;ARROYO DE LA MEDIA LEGUA;0;28030
ES20210101023747;ESCUADRON;3;13;3;S352;2021-01-01 02:35:00;CALLE;CIUDAD REAL;0;28045
VC20210101030509;VICALVARO;3;16;3;S369;2021-01-01 02:55:00;PASEO;ERMITA DEL SANTO;0;28019
ES20210101035015;ESCUADRON;3;13;3;S351;2021-01-01 03:50:00;CALLE;PERGAMINO;0;28032
CO20210101041201;COLON;3;6;3;S368;2021-01-01 04:10:00;CALLE;MENDIVIL;64;28038
ES20210101043824;ESCUADRON;3;13;3;S352;2021-01-01 04:25:00;CALLE;LUIS BUITRAGO;0;28033
CO20210101053359;COLON;3;46;3;S304;2021-01-01 05:25:00;CALLE;MONTAMARTA;15;28037
CO20210101060302;COLON;3;16;3;S356;2021-01-01 05:55:00;AVENIDA;PABLO NERUDA;SN;28000
CO20210101075039;COLON;3;7;1;S365;2021-01-01 07:48:00;CALLE;RIBERA DE CURTIDORES;11;28015
CO20210101075925;COLON;3;7;1;S304;2021-01-01 07:55:00;CALLE;RIBERA CURTIDORES;9;28005
M320210101091930;MEDIODIA 3;3;5;1;S325;2021-01-01 09:17:00;CALLE;VIA CARPETANA;137;28025
ES20210101101306;ESCUADRON;3;6;1;S336;2021-01-01 10:12:00;AVENIDA;OROVILLA;69;28041
CO20210101104501;COLON;3;7;1;S365;2021-01-01 10:43:00;CALLE;FUENCARRAL;120;00000
CO20210101104656;COLON;3;46;1;S357;2021-01-01 10:45:00;TRAVESIA;SIERRA DE GUADALUPE;1;28031
CO20210101105004;COLON;3;7;1;S304;2021-01-01 10:48:00;CALLE;FUENCARRAL;119;00000
ES20210101111849;ESCUADRON;3;13;1;S314;2021-01-01 11:18:00;PASAJE;MONSERRAT;2;
ES20210101131656;ESCUADRON;3;13;1;S305;2021-01-01 13:16:00;CALLE;BRAVO MURILLO;0;28020
CO20210101133012;COLON;1;24;1;S328;2021-01-01 13:28:00;CALLE;SAN JERONIMO;5;28002
VC20210101133704;VICALVARO;3;20;1;S340;2021-01-01 13:33:00;CALLE;TOMAS ESTEBAN;28;28018
M320210101135533;MEDIODIA 3;3;14;1;S362;2021-01-01 13:53:00;CALLE;SALASIERRA;13;28026
ES20210101135850;ESCUADRON;3;7;1;S329;2021-01-01 13:57:00;PASEO;RUPERTO CHAPI;2;28008
CO20210101135811;COLON;3;6;1;S356;2021-01-01 13:57:00;CALLE;LONGARES;8;28022
ES20210101140626;ESCUADRON;3;6;1;S334;2021-01-01 14:05:00;CALLE;CHIMBO;8;28025
PI20210101154339;PASEO IMPERIAL;3;14;1;S333;2021-01-01 15:40:00;CALLE;PEÑA AMBOTE;20;28031
ES20210101160652;ESCUADRON;3;14;2;S304;2021-01-01 16:04:00;CALLE;JULIAN DEL CERRO;.;28038
CO20210101162236;COLON;3;44;2;S364;2021-01-01 16:21:00;CALLE;GLADIOLO;25;28039
CO20210101164006;COLON;4;5;2;S340;2021-01-01 16:39:00;CALLE;SOCORRO;0;28032
VC20210101172133;VICALVARO;4;6;2;S322;2021-01-01 17:20:00;AVENIDA;DE  PABLO NERUDA;3;28018
M320210101173235;MEDIODIA 3;3;14;2;S325;2021-01-01 17:31:00;CALLE;CMNO VIEJO VILLAVERDE;7;28041
ES20210101173347;ESCUADRON;4;14;2;S319;2021-01-01 17:32:00;AVENIDA;COMPLUTENSE;30;28040
ES20210101174411;ESCUADRON;3;1;2;S332;2021-01-01 17:43:00;AVENIDA;ABRANTES;296;28025
ES20210101180401;ESCUADRON;3;14;2;S352;2021-01-01 18:01:00;CALLE;GRAN VIA;.;0    
ES20210101180950;ESCUADRON;3;14;2;S308;2021-01-01 18:06:00;CALLE;PEDRO CALLEJO;1;28038
ES20210101181247;ESCUADRON;3;6;2;S334;2021-01-01 18:07:00;CALLE;FELISA MENDEZ;45;28053
CO20210101185118;COLON;3;44;2;S366;2021-01-01 18:48:00;CALLE;SAN BERNARDO;20;28013
CO20210101185752;COLON;3;6;2;S309;2021-01-01 18:57:00;CALLE;ZIGIA;36;28027
ES20210101192234;ESCUADRON;4;6;2;S325;2021-01-01 19:20:00;CALLE;INMACULADA CONCEPCION;29;28019
CO20210101193003;COLON;3;46;2;S304;2021-01-01 19:28:00;AVENIDA;NUESTRA SEÑORA DE LA LUZ;0;0    
ES20210101193717;ESCUADRON;3;20;2;S332;2021-01-01 19:35:00;CALLE;DOÑA BERENGUELA;29;28011
CO20210101195241;COLON;3;6;2;S364;2021-01-01 19:51:00;CALLE;DOCTOR CASTELO;10;28009
ES20210101195808;ESCUADRON;3;14;2;S334;2021-01-01 19:57:00;PASEO;SANTA MARIA DE LA CABEZA;132;28019
CO20210101202711;COLON;3;46;2;S322;2021-01-01 20:24:00;CALLE;CAZORLA;SN;28053
CO20210101205217;COLON;3;6;2;S309;2021-01-01 20:50:00;CALLE;PILAR CAVERO;3;28027
ES20210101205556;ESCUADRON;3;7;2;S325;2021-01-01 20:54:00;CALLE;CALDERILLA;0;28054
ES20210101215752;ESCUADRON;3;13;2;S319;2021-01-01 21:56:00;CALLE;TOMAS BORRAS;0;28045
ES20210102004805;ESCUADRON;3;14;3;S370;2021-01-02 00:46:00;CALLE; INSTITUCI�N LIBRE DE ENSE�ANZA ;13;28037
CO20210102005222;COLON;3;44;3;S304;2021-01-02 00:51:00;CALLE;HORTALEZA;59;28004
ES20210102010512;ESCUADRON;3;13;3;S369;2021-01-02 01:03:00;AVENIDA;ALBUFERA;98;28031
VC20210102011914;VICALVARO;1;16;3;S353;2021-01-02 01:15:00;AVENIDA;ALBUFERA;98;28031
CO20210102012155;COLON;3;24;3;S318;2021-01-02 01:20:00;CALLE;GRAN VIA;28;0    
CO20210102024536;COLON;4;1;3;S368;2021-01-02 02:44:00;CALLE;ZIPAQUIRA;0;28033
ES20210102030220;ESCUADRON;1;13;3;S351;2021-01-02 02:59:00;CALLE;JORGE JUAN;0;28001
CO20210102030520;COLON;3;46;3;S364;2021-01-02 03:02:00;CALLE;CHAPARRAL;4;28033
ES20210102044017;ESCUADRON;3;14;3;S356;2021-01-02 04:39:00;CALLE;OUDRID;5;28039
CO20210102054139;COLON;1;13;3;S357;2021-01-02 05:40:00;CALLE;DE FUENCARRAL;69;28004
CO20210102054548;COLON;3;20;3;S360;2021-01-02 05:43:00;CALLE;FELIX RODRIGUEZ DE LA FUENTE;0;28017
ES20210102055450;ESCUADRON;3;13;3;S352;2021-01-02 05:51:00;CALLE;SERRANO;0;28000
CO20210102055650;COLON;3;46;3;S352;2021-01-02 05:55:00;CALLE;DEL  POETA BLAS DE OTERO;14;28017
ES20210102080841;ESCUADRON;3;13;1;S368;2021-01-02 08:06:00;PLAZA;PLAZA DE CASTILLA;0;
CO20210102080956;COLON;3;7;1;S360;2021-01-02 08:09:00;CALLE;AYERBE;0;00   
CO20210102081556;COLON;3;7;1;S340;2021-01-02 08:15:00;CALLE;AYERBE;61;28042
CO20210102084417;COLON;3;2;1;S353;2021-01-02 08:42:00;CALLE;VIRGEN DE LOS PELIGROS;4;28013
ES20210102090418;ESCUADRON;1;14;1;S284;2021-01-02 09:02:00;CALLE;MARIE CURIE;0;28049
ES20210102091819;ESCUADRON;3;7;1;S325;2021-01-02 09:15:00;CALLE;FERROVIARIOS;0;28026
CO20210102092545;COLON;3;7;1;S323;2021-01-02 09:24:00;PASEO;FERROVIARIOS;8;28021
ES20210102093603;ESCUADRON;3;7;1;S331;2021-01-02 09:34:00;CALLE;AV ORCASUR;0;28041
CO20210102093530;COLON;3;7;1;S339;2021-01-02 09:34:00;PASEO;DE LOS FERROVIARIOS;43;28021
ES20210102094108;ESCUADRON;3;14;1;S338;2021-01-02 09:39:00;CALLE;MARIE CURIE;0;28049
CO20210102094028;COLON;4;44;1;S332;2021-01-02 09:39:00;CALLE;ALFONSO XIII;19;28038
M320210102094246;MEDIODIA 3;3;14;1;S314;2021-01-02 09:39:00;CALLE;ERASMO DE ROTTERDAM;0;28049
M320210102095714;MEDIODIA 3;3;14;1;S311;2021-01-02 09:55:00;CALLE;FREUD;1;28049
CO20210102100050;COLON;3;7;1;S341;2021-01-02 09:59:00;AVENIDA;ORCASUR;0;28041
CO20210102102049;COLON;3;7;1;S340;2021-01-02 10:19:00;CALLE;AV ORCASUR;0;28041
ES20210102105226;ESCUADRON;4;6;1;S368;2021-01-02 10:37:00;CALLE;EDUARDO REQUENA;12;28053
CO20210102104349;COLON;3;3;1;S353;2021-01-02 10:41:00;CALLE;FRANCISCO ICAZA;13;28025
CO20210102110211;COLON;3;3;1;S339;2021-01-02 11:00:00;CALLE;VIRIATO;55;28010
CO20210102110147;COLON;3;9;1;S369;2021-01-02 11:00:00;CALLE;FELIPE CASTRO;0;28026
ES20210102110704;ESCUADRON;3;3;1;S331;2021-01-02 11:04:00;CALLE;FRANCISCO ICAZA;13;28025
ES20210102111253;ESCUADRON;1;8;1;S284;2021-01-02 11:11:00;CALLE;CALATRAVA;16;28005
ES20210102111445;ESCUADRON;1;9;1;S284;2021-01-02 11:11:00;CALLE;CALATRAVA;17;28005
ES20210102111939;ESCUADRON;1;8;1;S284;2021-01-02 11:16:00;CALLE;CALATRAVA;17;28005
CO20210102112247;COLON;3;19;1;S325;2021-01-02 11:20:00;CALLE;BARROS;0;28053
ES20210102112317;ESCUADRON;4;14;1;S330;2021-01-02 11:21:00;PASEO;JESUITAS;1;28011
CO20210102112214;COLON;3;6;1;S314;2021-01-02 11:21:00;CALLE;CAMINO VINATEROS;28;28030
CO20210102115849;COLON;3;6;1;S323;2021-01-02 11:57:00;CALLE;ESTRONCIO;9;28021
CO20210102120825;COLON;4;3;1;S353;2021-01-02 12:00:00;PLAZA;SAN VICENTE DE PAUL;3;28025
M320210102131520;MEDIODIA 3;1;14;1;S284;2021-01-02 12:10:00;CALLE;VALMOJADO;283;28047
M320210102131824;MEDIODIA 3;1;14;1;S284;2021-01-02 12:10:00;CALLE;VALMOJADO;283;28047
CO20210102123428;COLON;3;3;1;S368;2021-01-02 12:33:00;CALLE;HORTALEZA;33;28000
CO20210102124500;COLON;3;44;1;S360;2021-01-02 12:43:00;CALLE;JOSE DEL HIERRO;44;28027
CO20210102125942;COLON;3;7;1;S314;2021-01-02 12:58:00;CALLE;ORENSE;8;28020
ES20210102130126;ESCUADRON;3;37;1;S341;2021-01-02 12:58:00;CALLE;YEBENES;22;28047
CO20210102132219;COLON;7;8;1;S284;2021-01-02 13:10:00;CALLE;HORTALEZA;0;28000
CO20210102132601;COLON;7;8;1;S284;2021-01-02 13:10:00;CALLE;DE LAS INFANTAS;0;28004
M320210102131353;MEDIODIA 3;1;14;1;S284;2021-01-02 13:12:00;CALLE;VALMOJADO;289;28047
CO20210102131729;COLON;1;8;1;S284;2021-01-02 13:15:00;CALLE;HORTALEZA;0;28004
CO20210102134947;COLON;3;7;1;S332;2021-01-02 13:35:00;CALLE;PAYASO FOFO;0;28018
ES20210102133804;ESCUADRON;3;14;1;S311;2021-01-02 13:36:00;CALLE;AQUITANIA;49;28032
ES20210102135849;ESCUADRON;4;44;1;S325;2021-01-02 13:57:00;CALLE;PERICLES;5;28011
ES20210102140251;ESCUADRON;3;7;1;S338;2021-01-02 14:01:00;CALLE;ARROYO OLIVAR;0;28018
VC20210102141130;VICALVARO;3;16;1;S330;2021-01-02 14:10:00;AVENIDA;PESETA;24;28054
CO20210102142406;COLON;3;7;1;S369;2021-01-02 14:22:00;CALLE;ARROYO OLIVAR;36;28018
ES20210102143158;ESCUADRON;3;7;1;S339;2021-01-02 14:30:00;CALLE;PAYASO FOFO;0;28018
ES20210102164012;ESCUADRON;3;14;2;S366;2021-01-02 16:37:00;CALLE;GOYA;123;28001
CO20210102163843;COLON;3;44;2;S335;2021-01-02 16:37:00;CALLE;NUESTRA SEÑORA DE FATIMA;7;28000
ES20210102164551;ESCUADRON;4;13;2;S323;2021-01-02 16:43:00;CALLE;ISABELITA USERA;34;28026
ES20210102164918;ESCUADRON;3;44;2;S337;2021-01-02 16:47:00;GLORIETA;DE LOS PATINES;1;0    
ES20210102170416;ESCUADRON;3;13;2;S340;2021-01-02 17:01:00;CALLE;HERMOSILLA;SN;28028
CO20210102171516;COLON;1;8;2;S302;2021-01-02 17:13:00;PLAZA;EMPERADOR CARLOS V;1;28012
CO20210102171648;COLON;7;8;2;S302;2021-01-02 17:14:00;GLORIETA;EMPERADOR CARLOS V;01;28012
ES20210102174031;ESCUADRON;1;16;2;S323;2021-01-02 17:38:00;PASEO;DE LAS ACACIAS;8;28005
ES20210102174926;ESCUADRON;4;14;2;S370;2021-01-02 17:47:00;CALLE;DE ALFREDO CASTRO CAMBA;37;28053
M320210102182642;MEDIODIA 3;3;14;2;S335;2021-01-02 18:24:00;CAMINO;FUENCARRAL A HORTALEZA;89;28050
M320210102184706;MEDIODIA 3;3;14;2;S337;2021-01-02 18:44:00;CALLE;MONASTERIO DE SILOS;73;28049
VC20210102185553;VICALVARO;3;14;2;S340;2021-01-02 18:53:00;CALLE;CARLOS AURIOLES;23;28053
M320210102192703;MEDIODIA 3;3;14;2;S302;2021-01-02 19:25:00;AVENIDA;PESETA;;28054
ES20210102200010;ESCUADRON;3;14;2;S366;2021-01-02 19:57:00;CALLE;SAN BERNARDO;10;28013
ES20210102202921;ESCUADRON;3;14;2;S323;2021-01-02 20:27:00;PASEO;RECOLETOS;20;28001
ES20210102203252;ESCUADRON;3;14;2;S370;2021-01-02 20:31:00;AVENIDA;MONFORTE DE LEMOS;111;28029
CO20210102210241;COLON;3;46;2;S340;2021-01-02 21:01:00;CALLE;ARRASTARIA;16;28022
CO20210102210449;COLON;3;7;2;S335;2021-01-02 21:02:00;CALLE;ACANTO;11;28045
M320210102211253;MEDIODIA 3;3;14;2;S302;2021-01-02 21:11:00;CALLE;FRAGATA;;28019
CO20210102221347;COLON;3;7;3;S366;2021-01-02 22:12:00;PLAZA;LA LEALTAD;1;0    
ES20210103000910;ESCUADRON;3;14;3;S364;2021-01-02 22:20:00;PASEO;RECOLETOS;33;28004
ES20210102225214;ESCUADRON;3;14;3;S353;2021-01-02 22:50:00;CALLE;CALDERILLA;0;28054
ES20210103000334;ESCUADRON;3;13;3;S351;2021-01-03 00:00:00;CALLE;ESTIBALIZ;0;28043
CO20210103001002;COLON;3;44;3;S366;2021-01-03 00:08:00;CALLE;CLARA DEL REY;35;28002
CO20210103002120;COLON;3;6;3;S304;2021-01-03 00:20:00;ESTACION;DE CHAMARTIN;0;28036
CO20210103010032;COLON;3;44;3;S360;2021-01-03 00:55:00;CALLE;VIRGEN DE BELEN;20;28019
CO20210103011539;COLON;3;7;3;S350;2021-01-03 01:10:00;CALLE;EMBAJADORES;1;28053
CO20210103011330;COLON;3;7;3;S370;2021-01-03 01:12:00;PLAZA;CASCORRO;6;28005
ES20210103011833;ESCUADRON;3;7;3;S318;2021-01-03 01:17:00;PLAZA;CASCORRO;0;28005
VC20210103012202;VICALVARO;3;21;3;S352;2021-01-03 01:19:00;CALLE;RANCHO;7;28041
CO20210103012158;COLON;3;7;3;S304;2021-01-03 01:20:00;CALLE;EMBAJADORES;5;28053
VC20210103012353;VICALVARO;1;16;3;S358;2021-01-03 01:22:00;CALLE;AMOR DE DIOS;0;28014
CO20210103013444;COLON;3;7;3;S369;2021-01-03 01:25:00;CALLE;RIBERA DE CURTIDORES;12;28005
CO20210103013820;COLON;3;7;3;S356;2021-01-03 01:37:00;CALLE;RIBERA DE CURTIDORES;1;28005
CO20210103020102;COLON;3;7;3;S360;2021-01-03 01:55:00;CALLE;RIBERA DE CURTIDORES;33;28005
ES20210103020031;ESCUADRON;3;13;3;S353;2021-01-03 01:59:00;AVENIDA;DE LOS POBLADOS;0;28054
CO20210103022120;COLON;3;7;3;S368;2021-01-03 02:20:00;PLAZA;DEL GENERAL VARA DEL REY;8;28005
ES20210103042152;ESCUADRON;3;13;3;S364;2021-01-03 02:25:00;CALLE;VALLE DE TOBALINA;;28021
ES20210103022748;ESCUADRON;3;13;3;S350;2021-01-03 02:26:00;CALLE;VALLE DE TOBALINA;0;28021
VC20210103023904;VICALVARO;3;16;3;S351;2021-01-03 02:38:00;PASEO;PINTOR ROSALES;2;28008
ES20210103024142;ESCUADRON;1;13;3;S370;2021-01-03 02:40:00;AVENIDA;MONASTERIO EL ESCORIAL;30;28049
CO20210103024201;COLON;3;7;3;S366;2021-01-03 02:41:00;PLAZA;DEL GENERAL VARA DEL REY;11;28005
ES20210103025336;ESCUADRON;3;13;3;S304;2021-01-03 02:52:00;AVENIDA;PADRE PIQUER;15;28024
ES20210103025600;ESCUADRON;3;13;3;S369;2021-01-03 02:54:00;AVENIDA;CARABANCHEL ALTO;134;28000
VC20210103031852;VICALVARO;3;14;3;S358;2021-01-03 03:17:00;CALLE;VIRGEN DE LOURDES;42;28027
CO20210103032834;COLON;3;7;3;S368;2021-01-03 03:25:00;CALLE;BAJA MIRA EL RIO;10;28005
ES20210103035402;ESCUADRON;3;13;3;S318;2021-01-03 03:52:00;CALLE;VERACRUZ;0;28036
CO20210103040705;COLON;3;7;3;S370;2021-01-03 04:05:00;CALLE;PICO CEJO;49;28038
CO20210103041632;COLON;3;7;3;S351;2021-01-03 04:05:00;CALLE;CARLOS ARNICHES;31;28005
CO20210103051456;COLON;3;8;3;S358;2021-01-03 05:10:00;CALLE;CLAUDIO COELLO;;28006
ES20210103053731;ESCUADRON;3;49;3;S352;2021-01-03 05:35:00;CALLE;PALOS DE LA FRONTERA;0;28045
ES20210103055526;ESCUADRON;3;12;3;S318;2021-01-03 05:52:00;CALLE;BALEARES;37;28019
CO20210103075741;COLON;1;7;1;S353;2021-01-03 07:48:00;PLAZA;CASCORRO;20;28005
ES20210103075352;ESCUADRON;3;14;1;S364;2021-01-03 07:51:00;CALLE PARTICULAR;FRANCISCO DE GUZMAN;23;0    
CO20210103080417;COLON;1;5;1;S360;2021-01-03 08:02:00;PLAZA;CASCORRO;0;0    
CO20210103090838;COLON;3;7;1;S369;2021-01-03 09:07:00;CALLE;HERMANOS ALVAREZ QUINTERO;5;28004
M320210103091054;MEDIODIA 3;3;14;1;S314;2021-01-03 09:09:00;CALLE;MANRESA;32;28034
ES20210103092404;ESCUADRON;3;13;1;S356;2021-01-03 09:20:00;CALLE;PRINCESA;88;
CO20210103093130;COLON;1;8;1;S284;2021-01-03 09:29:00;CUESTA;SANTO DOMINGO;7;28013
ES20210103093858;ESCUADRON;3;7;1;S332;2021-01-03 09:37:00;CALLE;CAPITAN SALAZAR MARTINEZ;3;28005
CO20210103095515;COLON;3;7;1;S330;2021-01-03 09:50:00;PASEO;PRADO;1;
CO20210103100333;COLON;3;7;1;S338;2021-01-03 10:01:00;PASEO;DEL PRADO;34;28014
CO20210103100857;COLON;3;7;1;S360;2021-01-03 10:07:00;CALLE;FUENCARRAL;126;28004
M320210103101059;MEDIODIA 3;4;14;1;S311;2021-01-03 10:09:00;CALLE;CANDIDO MATEOS;0;28035
ES20210103101653;ESCUADRON;4;14;1;S352;2021-01-03 10:11:00;CALLE;JULIO CALVO;8;28035
CO20210103103922;COLON;3;7;1;S314;2021-01-03 10:35:00;CALLE;VILLUERCAS;14;28053
CO20210103103952;COLON;1;8;1;S284;2021-01-03 10:38:00;CALLE;SERRANO.;68;0
CO20210103104155;COLON;1;8;1;S284;2021-01-03 10:40:00;CALLE;SERRANO.;37;0
ES20210103104908;ESCUADRON;1;8;1;S331;2021-01-03 10:46:00;PLAZA;TIRSO DE MOLINA;0;28012
CO20210103104938;COLON;1;8;1;S284;2021-01-03 10:48:00;CALLE;SERRANO.;37;0
CO20210103105228;COLON;1;8;1;S284;2021-01-03 10:51:00;CALLE;SERRANO.;20;0
CO20210103105527;COLON;4;6;1;S353;2021-01-03 10:54:00;CALLE;ESCOCIA;2;28019
VC20210103110222;VICALVARO;3;21;1;S341;2021-01-03 11:00:00;CALLE;GALLUR;411;28047
ES20210103111734;ESCUADRON;3;14;1;S369;2021-01-03 11:13:00;CALLE;PEDRO BOSCH;0;28000
M320210103112055;MEDIODIA 3;3;7;1;S340;2021-01-03 11:15:00;ACCESO;AEROPUERTO T 4 SALIDAS;0;
CO20210103112459;COLON;3;5;1;S364;2021-01-03 11:23:00;CALLE;BAYONA;6;28028
ES20210103115840;ESCUADRON;3;5;1;S323;2021-01-03 11:53:00;CALLE;LEOPOLDO CALVO SOTELO;0;28031
CO20210103115904;COLON;3;4;1;S352;2021-01-03 11:57:00;CALLE;VIRGEN DEL LLUC;0;28027
ES20210103120132;ESCUADRON;4;51;1;S356;2021-01-03 11:59:00;ACCESO;TERMINAL 3;0;0    
CO20210103123107;COLON;3;19;1;S332;2021-01-03 12:29:00;CALLE;EMILIO ORTUÑO;30;28038
CO20210103123223;COLON;3;19;1;S338;2021-01-03 12:31:00;CALLE;EMILIO ORTUÑO;30;28023
CO20210103123546;COLON;3;1;1;S353;2021-01-03 12:34:00;AVENIDA;DE LA INSTITUCION LIBRE DE ENSEÑANZA;67;28037
ES20210103130213;ESCUADRON;1;14;1;S284;2021-01-03 13:00:00;CALLE;GENERAL ARRANDO;28;28010
ES20210103130414;ESCUADRON;1;14;1;S284;2021-01-03 13:01:00;CALLE;FERNANDEZ DE LA HOZ;27;28003
ES20210103131100;ESCUADRON;3;14;1;S311;2021-01-03 13:08:00;CALLE;MARQUES DE VILLAMEJOR;30;28006
M320210103131913;MEDIODIA 3;3;14;1;S323;2021-01-03 13:17:00;AVENIDA;PESETA;0;28054
ES20210103132040;ESCUADRON;4;44;1;S314;2021-01-03 13:19:00;CALLE;SERAFIN RAMIREZ;3;28039
