idVehiculo;deposito;tipoVehiculo;motivo;turno;grua;fechaEntrada;tipoVia;via;numero;cp
CO20190101010830;COLON;3;6;3;S358;01/01/2019 1:07;CALLE;GAVIOTA;35;28025
CO20190101021223;COLON;3;6;3;S368;01/01/2019 2:11;CALLE;TORRELAGUNA;110;28043
CO20190101021316;COLON;3;44;3;S366;01/01/2019 2:12;CALLE;PUEBLA DE MONTALBAN;18;28044
CO20190101021431;COLON;3;5;3;S347;01/01/2019 2:13;CALLE;BELZUNEGRI;0;28025
CO20190101021528;COLON;3;6;3;S319;01/01/2019 2:14;CALLE;GALVEZ;2;28044
ES20190101023514;ESCUADRON;3;21;3;S369;01/01/2019 2:33;CALLE;PRIMITIVA GAÑAN;0;28026
CO20190101031722;COLON;4;1;3;S358;01/01/2019 3:16;CALLE;JOSE JORDAN;1;28044
ES20190101035610;ESCUADRON;3;24;3;S356;01/01/2019 3:54;CALLE;MIRADOR DE LA REINA;4;28035
ES20190101041224;ESCUADRON;3;24;3;S352;01/01/2019 4:10;CALLE;MIRADOR DE LA REINA;0;
CO20190101042908;COLON;3;6;3;S355;01/01/2019 4:28;CALLE;CARLOS MARTIN ALVAREZ;71;28018
CO20190101053748;COLON;3;5;3;S347;01/01/2019 5:32;CALLE;CUART DE POBLET;65;28047
CO20190101055147;COLON;4;13;3;S352;01/01/2019 5:51;CALLE;PASEO STA MARIA DE CABEZA;0;28019
ES20190101074153;ESCUADRON;3;5;1;S364;01/01/2019 7:38;CALLE;JUAN ESPAÑOL;0;28026
VC20190101084036;VICALVARO;3;20;1;S365;01/01/2019 8:36;CALLE;CAÑADA REAL GALIANA;117;0
ES20190101091936;ESCUADRON;3;7;1;S338;01/01/2019 9:17;PLAZA;HERCULES;0;28025
ES20190101094852;ESCUADRON;3;16;1;S301;01/01/2019 9:37;AUTOVIA;M30 CALZADA 2;0;0
ES20190101095408;ESCUADRON;3;24;1;S328;01/01/2019 9:50;AVENIDA;FUEROS;0;28041
ES20190101100134;ESCUADRON;3;13;1;S344;01/01/2019 10:00;CALLE;CASTRO DE ORO;15;28019
ES20190101102300;ESCUADRON;3;46;1;S330;01/01/2019 10:21;CALLE;CANAL DE PANAMA;6;28027
CO20190101110920;COLON;1;46;1;S360;01/01/2019 11:06;CARRETERA;M 23;;
ES20190101111613;ESCUADRON;1;16;1;S284;01/01/2019 11:11;CALLE;ALMAGRO;40;28010
ES20190101111750;ESCUADRON;1;16;1;S284;01/01/2019 11:17;CALLE;ALMAGRO;40;28010
ES20190101111941;ESCUADRON;1;16;1;S284;01/01/2019 11:18;CALLE;ALMAGRO;40;28010
ES20190101112122;ESCUADRON;1;16;1;S284;01/01/2019 11:20;CALLE;ALMAGRO;40;28010
CO20190101114955;COLON;3;6;1;S345;01/01/2019 11:49;CALLE;LA HUELGA;18;28031
CO20190101115106;COLON;3;19;1;S334;01/01/2019 11:50;AVENIDA;SAN DIEGO;46;28053
CO20190101115154;COLON;3;19;1;S340;01/01/2019 11:51;AVENIDA;SAN DIEGO;44;28053
ES20190101134019;ESCUADRON;3;20;1;S339;01/01/2019 13:33;CALLE;RICARDO BELTRAN ROZPIDE;21;28026
ES20190101135304;ESCUADRON;4;8;1;S301;01/01/2019 13:51;CALLE;JUAN ESPLANDIU;12;28007
CO20190101140840;COLON;3;14;1;S352;01/01/2019 14:06;CALLE;GALEON;27;28042
CO20190101155343;COLON;3;44;2;S310;01/01/2019 15:53;CALLE;CALERUEGA;97;28033
ES20190101160008;ESCUADRON;3;49;2;S365;01/01/2019 15:58;CALLE;LUIS VELEZ DE GUEVARA;10;28012
CO20190101165011;COLON;3;5;2;S307;01/01/2019 16:40;CALLE;VALLE DE MENA;0;0
ES20190101172118;ESCUADRON;3;14;2;S347;01/01/2019 17:16;ACCES;M30  CALZADA 2 A1;8.200;0
ES20190101171710;ESCUADRON;4;9;2;S339;01/01/2019 17:16;AVENIDA;DE LAS AGUILAS;99;
CO20190101174510;COLON;3;44;2;S370;01/01/2019 17:44;CALLE;SAN CIPRIANO;27;28032
ES20190101180029;ESCUADRON;4;6;2;S345;01/01/2019 17:56;CALLE;NICOLAS SANCHEZ;113;28026
ES20190101180154;ESCUADRON;1;14;2;S335;01/01/2019 18:00;CALLE;LA OCA;80;28025
ES20190101181242;ESCUADRON;3;6;2;S336;01/01/2019 18:11;CALLE;AMISTAD;22;28025
CO20190101181835;COLON;3;42;2;S358;01/01/2019 18:17;CALLE;ARGENSOLA;8;28004
CO20190101182053;COLON;3;42;2;S350;01/01/2019 18:20;CALLE;ARGENSOLA;8;28004
CO20190101185726;COLON;3;42;2;S367;01/01/2019 18:55;CALLE;ARGENSOLA;8;28004
CO20190101190035;COLON;3;6;2;S312;01/01/2019 18:58;CALLE;GUZMAN EL BUENO;62;28015
ES20190101190052;ESCUADRON;3;6;2;S338;01/01/2019 18:59;CALLE;PASEO PERALES;18;28011
CO20190101190133;COLON;3;42;2;S365;01/01/2019 19:00;CALLE;SANTA TERESA;14;28004
ES20190101191947;ESCUADRON;3;14;2;S357;01/01/2019 19:11;CALLE;CABO TARIFA;SN;28053
ES20190101193156;ESCUADRON;3;4;2;S328;01/01/2019 19:27;AVENIDA;NUESTRA SEÑORA DE VALVANERA;111;28025
CO20190101194533;COLON;3;42;2;S347;01/01/2019 19:41;CALLE;SANTA TERESA;14;28004
CO20190101194619;COLON;3;42;2;S352;01/01/2019 19:45;CALLE;SANTA TERESA;14;28004
ES20190101195305;ESCUADRON;3;8;2;S327;01/01/2019 19:49;CALLE;JOAQUIN MARTINEZ BORREGUERO;11;28019
ES20190101200004;ESCUADRON;3;13;2;S339;01/01/2019 19:57;CALLE;CARPESA;5;28024
ES20190101204904;ESCUADRON;3;14;2;S307;01/01/2019 20:46;PLAZA;FONSAGRADA;0;0
ES20190101213729;ESCUADRON;3;37;2;S338;01/01/2019 21:34;CALLE;SIERRA TOLEDANA;15;28038
RE20190102014624;EL RECUERDO;3;7;2;S361;01/01/2019 21:40;CALLE;FEDERICO CARLOS SAINZ DE ROBLES;12;28035
ES20190101222521;ESCUADRON;4;8;2;S327;01/01/2019 22:24;CALLE;MONCADA;110;28021
CO20190102022724;COLON;3;44;3;S366;02/01/2019 0:15;CALLE;ALEGRIA;1;28025
ES20190102022329;ESCUADRON;4;14;3;S365;02/01/2019 0:15;ACCES;TERMINAL T4 SALIDAS;;
CO20190102004731;COLON;3;46;3;S369;02/01/2019 0:20;AVENIDA;DE LOS POBLADOS;;28044
ES20190102031903;ESCUADRON;4;20;3;S318;02/01/2019 0:25;AVENIDA;VALLADOLID;31;28008
CO20190102020703;COLON;3;6;3;S358;02/01/2019 0:35;PASEO;ESPERANZA;5;28005
CO20190102020931;COLON;4;6;3;S350;02/01/2019 1:50;CALLE;VILLAJIMENA;75;28032
VC20190102054235;VICALVARO;3;20;3;S352;02/01/2019 5:05;CALLE;ARCOS DE JALON;102;28037
PI20190102084814;PASEO IMPERIAL;3;7;1;S336;02/01/2019 8:45;CALLE;GALIANA;11;28011
PI20190102085906;PASEO IMPERIAL;3;3;1;S328;02/01/2019 8:55;CALLE;ANTONIO LOPEZ;101;28026
PI20190102090911;PASEO IMPERIAL;3;6;1;S334;02/01/2019 9:05;CALLE;FUENTE DEL TIRO;72;28024
PI20190102091256;PASEO IMPERIAL;3;7;1;S330;02/01/2019 9:10;CALLE;VALLEHERMOSO;6;28015
PI20190102093345;PASEO IMPERIAL;3;31;1;S322;02/01/2019 9:20;CALLE;PUERTO DE PIEDRAFITA;15;28053
RE20190102092803;EL RECUERDO;3;24;1;S304;02/01/2019 9:24;AUTOVIA;M30;0;
PI20190102093736;PASEO IMPERIAL;3;7;1;S345;02/01/2019 9:25;CALLE;ANTONIO ZAMORA;22;28011
PI20190102093529;PASEO IMPERIAL;3;3;1;S339;02/01/2019 9:25;CALLE;MARCELINO CAMACHO;3;
ES20190102093609;ESCUADRON;3;16;1;;02/01/2019 9:32;ACCES;M30 TUNEL KM 14;SN;0
RE20190102093835;EL RECUERDO;3;31;1;S313;02/01/2019 9:37;CALLE;VALDESANGIL;20;28039
PI20190102094425;PASEO IMPERIAL;3;3;1;S327;02/01/2019 9:40;CALLE;ANTONIO LOPEZ;76;28026
M320190102095733;MEDIODIA 3;3;14;1;S335;02/01/2019 9:52;CALLE;LEBRELES;6;28044
CO20190102095914;COLON;1;8;1;S284;02/01/2019 9:52;CALLE;ECHEGARAY;4;28014
CO20190102100105;COLON;1;8;1;S284;02/01/2019 9:59;CALLE;ECHEGARAY;4;28014
CO20190102100622;COLON;1;8;1;S284;02/01/2019 10:05;CALLE;ECHEGARAY;2;28014
CO20190102100814;COLON;1;8;1;S284;02/01/2019 10:06;CALLE;ECHEGARAY;2;28014
CO20190102100947;COLON;1;8;1;S284;02/01/2019 10:08;CALLE;ECHEGARAY;2;28014
CO20190102101612;COLON;3;7;1;S358;02/01/2019 10:14;CALLE;ANDRES MELLADO;4;28003
CO20190102102653;COLON;3;3;1;S360;02/01/2019 10:15;CALLE;FUENCARRAL;98;28000
CO20190102102343;COLON;3;44;1;S364;02/01/2019 10:20;CALLE;RAFAEL DE RIEGO;43;0
PI20190102102806;PASEO IMPERIAL;3;3;1;S327;02/01/2019 10:25;PASEO;QUINCE DE MAYO;24;28019
RE20190102102858;EL RECUERDO;3;46;1;S306;02/01/2019 10:27;CALLE;ALVARO CABALLERO;14;28023
CO20190102103056;COLON;3;3;1;S368;02/01/2019 10:29;CALLE;FUENCARRAL;98;28010
CO20190102105249;COLON;3;31;1;S369;02/01/2019 10:30;CALLE;PUERTO DE PIEDRAFITA;15;28053
PI20190102105454;PASEO IMPERIAL;3;5;1;S338;02/01/2019 10:50;CALLE;VENANCIO MARTIN;45;28038
CO20190102105448;COLON;3;3;1;S365;02/01/2019 10:53;CALLE;ARGENSOLA;21;28004
ES20190102105615;ESCUADRON;3;13;1;S312;02/01/2019 10:54;AVENIDA;SOTO PALACIOS;71;28034
CO20190102105611;COLON;3;3;1;S366;02/01/2019 10:55;CALLE;ARGENSOLA;21;28004
CO20190102111007;COLON;3;44;1;S363;02/01/2019 11:08;CALLE;LOPEZ SILVA;2;28040
PI20190102111233;PASEO IMPERIAL;3;3;1;S328;02/01/2019 11:10;PASEO;MARQUES DE MONISTROL;3;28011
